,Period,Country,Event_type,Outline,,States,Non-structured-data,More Information of Incident
70,10-07-2011,India,Flood,"Floods triggered by monsoon rains that start over Kerala and cover the rest of India by mid-July have affected more than 2,500,000, killed more than 130 across the country.",,kerala',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2011-000084-IND"">FL-2011-000084-IN', 'http://reliefweb.int/node/446494"">Gover', 'http://reliefweb.int/node/442608"">Gover', 'http://reliefweb.int/node/442607"">Gover', 'http://reliefweb.int/node/441385"">Gover', 'http://reliefweb.int/node/440699"">Gover', 'http://reliefweb.int/node/440488"">Gover', 'http://reliefweb.int/node/436108"">Gover', 'http://reliefweb.int/node/435697"">Gover', 'http://reliefweb.int/node/426634"">Gover', 'http://reliefweb.int/node/426357"">Gover', 'http://reliefweb.int/node/425524"">Gover', 'http://reliefweb.int/node/424955"">Gover', 'http://reliefweb.int/node/446494"">Gover', 'http://reliefweb.int/node/442608"">Gover', 'http://reliefweb.int/node/442607"">Gover', 'http://reliefweb.int/node/441385"">Gover', 'http://reliefweb.int/node/440699"">Gover', 'http://reliefweb.int/node/440488"">Gover', 'http://reliefweb.int/node/436108"">Gover', 'http://reliefweb.int/node/435697"">Gover', 'http://reliefweb.int/node/426634"">Gover', 'http://reliefweb.int/node/426357"">Gover', 'http://reliefweb.int/node/425524"">Gover', 'http://reliefweb.int/node/424955"">Gover', 'http://reliefweb.int/sites/reliefweb.int/files/resources/FL-2011-000084-IND%20_0713.pdf""']","['2011/07/10', 'India', 'Flood', 'Floods triggered by monsoon rains that start over Kerala and cover the rest of India by mid-July have affected more than 2,500,000, killed more than 130 across the country.', 'Killed: 788\r\nAffected: 6,932,944', 'Fully damaged houses: 112,001\r\nPartially damaged houses: 452,866 \n', '', 'Killed: 637\r\nAffected: 5,990,367', 'Fully damaged houses: 84,703\r\nPartially damaged houses: 377,247 \n', '', 'Killed: 633\r\nAffected: 5,990,359', 'Fully damaged houses: 84,640\r\nPartially damaged houses: 376,117 \n', '', 'Killed: 539\r\nAffected: 5,002,102', 'Fully damaged houses: 69,862\r\nPartially damaged houses: 275,447 \n', '', 'Killed: 502\r\nAffected: 3,881,671 ', 'Fully damaged houses: 54,110\r\nPartially damaged houses: 217,663  ', '', 'Killed: 470\r\nAffected: 3,423,580', 'Fully damaged houses: 48,577\r\nPartially damaged houses: 196,184  ', '', 'Killed: 425\r\nAffected: 3,321,241', 'Fully damaged houses: 47,705\r\nPartially damaged houses: 193,166 ', '', 'Killed: 398\r\nAffected: 2,930,393', 'Fully damaged houses: 47,438\r\nPartially damaged houses: 192,162', '', 'Killed: 308\r\nAffected: 2,681,054', 'Fully damaged houses: 47,421\r\nPartially damaged houses: 190,902  \n', '', 'Killed: 293\r\nAffected: 2,661,448', 'Fully damaged houses: 47,400\r\nPartially damaged houses: 190,275 ', '', 'Killed: 141\r\nAffected: 3,330,662', 'Fully damaged houses: 47,224\r\nPartially damaged houses: 185,309 ', '', 'Killed: 130\r\nAffected: 2,570,664\n', 'Fully damaged houses: 47,355\r\nPartially damaged houses: 189,622', '']"
71,04-12-2010,India,Flood,Floods triggered by heavy rains in southern India have killed around 180 people and forced tens of thousands to seek refuge in government relief camps.,,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2010-000249-IND"">FL-2010-000249-IN', 'http://www.reliefweb.int/rw/rwb.nsf/db900sid/SNAA-8BZLCN?OpenDocument', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/VVOS-8BVLU6?OpenDocument&amp;rc=3&amp;cc=ind"">Re', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/RKRR-8BWL9Q?OpenDocument&amp;rc=3&amp;cc=ind']","['2010/12/04', 'India', 'Flood', 'Floods triggered by heavy rains in southern India have killed around 180 people and forced tens of thousands to seek refuge in government relief camps.']"
72,19-09-2010,India,Flood,"At least 63 people have been killed from flooding and landslides in northern India since Saturday, officials said Sunday.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2010-000187-IND"">FL-2010-000187-IN', 'https://sentinel.tksc.jaxa.jp/sentinel2/thumbnailEmob.jsp?subset_name=Emergency+Observation&amp;submit.countryIdx=0&amp;emobRequestDetailAction.requestId=ERINSR000042"">ERINSR00004', 'http://edition.cnn.com/2010/WORLD/asiapcf/09/19/india.floods/index.html?hpt=T2"">CN']","['2010/09/19', 'India', 'Flood', 'At least 63 people have been killed from flooding and landslides in northern India since Saturday, officials said Sunday.\r\n']"
73,06-08-2010,India,Flash Flood,"At least 80 people were killed and more than 200 injured early Friday when heavy rains triggered flash floods and landslides in the frontier town of Leh, police said.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FF-2010-000155-IND"">FF-2010-000155-IN', 'https://sentinel.tksc.jaxa.jp/sentinel2/thumbnailEmob.jsp?subset_name=Emergency+Observation&amp;submit.countryIdx=0&amp;emobRequestDetailAction.requestId=ERINUK000003"">ERINUK00000', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/KHII-88E9KR?OpenDocument"">A', 'http://www.alertnet.org/db/an_art/55867/2010/07/11-131529-1.htm"">Re', 'http://edition.cnn.com/2010/WORLD/asiapcf/08/08/india.floods/index.html#fbid=5vV96ISrhNs&amp;wom=false"">CN', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MUMA-8847TY?OpenDocument"">Re', 'http://edition.cnn.com/2010/WORLD/asiapcf/08/06/india.flood/index.html#fbid=Q-reV03lYdX&amp;wom=false"">CN']","['2010/08/06', 'India', 'Flash Flood', 'At least 80 people were killed and more than 200 injured early Friday when heavy rains triggered flash floods and landslides in the frontier town of Leh, police said.\r\n']"
74,02-07-2010,India,Flood,"Incessant monsoon rains have triggered major flooding in northeastern India, forcing thousands of people to abandon their homes in search of higher ground",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2010-000125-IND"">FL-2010-000125-IN', 'https://sentinel.tksc.jaxa.jp/sentinel2/thumbnailEmob.jsp?subset_name=Emergency+Observation&amp;submit.countryIdx=0&amp;emobRequestDetailAction.requestId=ERINGH000002"">ERINGH00000', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/ASHU-87TKTZ?OpenDocument"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/FBUO-87RCD6?OpenDocument"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MYAI-87R2W4?OpenDocument"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MCOI-87MH2P?OpenDocument"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MCOI-87KH7C?OpenDocument&amp;rc=3&amp;cc=ind"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MCOI-87KBSC?OpenDocument"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MUMA-87J3DS?OpenDocument&amp;rc=3&amp;cc=ind"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MUMA-87J3A2?OpenDocument&amp;rc=3&amp;cc=ind"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/EKIM-87E7WD?OpenDocument&amp;rc=3&amp;cc=ind"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/EGUA-87DPJV?OpenDocument&amp;rc=3&amp;cc=ind"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/ASHU-87TKTZ?OpenDocument"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/FBUO-87RCD6?OpenDocument"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MYAI-87R2W4?OpenDocument"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MCOI-87MH2P?OpenDocument"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MCOI-87KH7C?OpenDocument&amp;rc=3&amp;cc=ind"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MCOI-87KBSC?OpenDocument"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MUMA-87J3DS?OpenDocument&amp;rc=3&amp;cc=ind"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MUMA-87J3A2?OpenDocument&amp;rc=3&amp;cc=ind"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/EKIM-87E7WD?OpenDocument&amp;rc=3&amp;cc=ind"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/EGUA-87DPJV?OpenDocument&amp;rc=3&amp;cc=ind"">Gover', 'http://edition.cnn.com/2010/WORLD/asiapcf/07/12/india.monsoon.floods/index.html?fbid=Q-reV03lYdX"">CN', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/EKIM-8755AF?OpenDocument&amp;rc=3&amp;emid=FL-2010-000125-IND"">Gover', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/ADGO-874LAY?OpenDocument&amp;rc=3&amp;emid=FL-2010-000125-IND"">Re', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/ASHU-86Y5KE?OpenDocument&amp;rc=3&amp;cc=ind"">Gover', 'http://www.alertnet.org/db/an_art/55867/2010/06/1-112834-1.htm"">Re', 'http://www.reliefweb.int/rw/fullmaps_sa.nsf/luFullMap/2B64408F3505839985257754006B796D/$File/FL-2010-000125-IND.pdf?OpenElement""']","['2010/07/02', 'India', 'Flood', 'Incessant monsoon rains have triggered major flooding in northeastern India, forcing thousands of people to abandon their homes in search of higher ground', 'Dead: 347\r\nAffected: 3,637,652', 'Totally damaged houses: 13,051\r\nPartially damaged houses: 31,205', '', 'Dead: 326\r\nAffected: 3,538,416', 'Totally damaged houses: 10,549\r\nPartially damaged houses: 28,797', '', 'Dead: 324\r\nAffected: 3,533,718', 'Totally damaged houses: 10,530\r\nPartially damaged houses: 28,754', '', 'Dead: 285\r\nAffected: 1,589,224', 'Totally damaged houses: 3,857\r\nPartially damaged houses: 13,075', '', 'Dead: 276\r\nAffected: 1,572,221', 'Totally damaged houses: 4,014\r\nPartially damaged houses: 12,573', '', 'Dead: 268\r\nAffected: 1,559,855\n', 'Totally damaged houses: 3,688\r\nPartially damaged houses: 12,319', '', 'Dead: 257\r\nAffected: 1,546,613\n', 'Totally damaged houses: 3,616\r\nPartially damaged houses: 11,861', '', 'Dead: 252\r\nAffected: 1,546,520\n', 'Totally damaged houses: 3,616\r\nPartially damaged houses: 11,834', '', 'Dead: 246\r\nAffected: 1,544,704\n', 'Totally damaged houses: 3,609\r\nPartially damaged houses: 11,677', '', 'Dead: 238\r\nAffected: 1,543,514\n', 'Totally damaged houses: 3,482\r\nPartially damaged houses: 11,064 ', '']"
75,17-06-2010,India,Flood,"Heavy monsoon rains in western India have damaged houses and flooded parts of Maharashtra, killing at least 46 people, officials say.",,maharashtra',['http://news.bbc.co.uk/2/hi/south_asia/8745232.stm'],"['2010/06/17', 'India', 'Flood', 'Heavy monsoon rains in western India have damaged houses and flooded parts of Maharashtra, killing at least 46 people, officials say.']"
76,20-05-2010,India,Tropical Cyclone,"Cyclone Laila hit the coast of southern India's Andhra Pradesh state on 20 May 2010, leaving 16 people dead and flooded thousands of homes.",,andhra',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2010-000097-IND"">TC-2010-000097-IN', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MUMA-85P3QV?OpenDocument&amp;rc=3&amp;emid=TC-2010-000097-IND', 'http://news.bbc.co.uk/2/hi/south_asia/8696211.stm', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/SNAA-85N3KQ?OpenDocument&amp;rc=3&amp;cc=ind"">', 'http://www.reliefweb.int/rw/fullmaps_sa.nsf/luFullMap/F93293174877A6A1C125772E004161A1/$File/map.pdf?OpenElement""']","['2010/05/20', 'India', 'Tropical Cyclone', ""Cyclone Laila hit the coast of southern India's Andhra Pradesh state on 20 May 2010, leaving 16 people dead and flooded thousands of homes.""]"
77,07-05-2010,India,Severe Local Storm,"A powerful storm has killed at least 54 people in northern and eastern India, authorities said Saturday.
The storm packed strong winds that ripped through parts of Bihar and Uttar Pradesh states on Friday, according to officials",,bihar',"['http://edition.cnn.com/2010/WORLD/asiapcf/05/08/india.severe.storm/index.html"">CN']","['2010/05/07', 'India', 'Severe Local Storm', 'A powerful storm has killed at least 54 people in northern and eastern India, authorities said Saturday.\r\nThe storm packed strong winds that ripped through parts of Bihar and Uttar Pradesh states on Friday, according to officials\r\n']"
78,18-04-2010,India,Heat Wave,"A severe heat wave sweeping India, with temperatures of almost 44 C (111 F), the highest in 52 years, has killed at least 80 people.",,,"['http://www.reliefweb.int/rw/rwb.nsf/db900SID/SNAA-84N4H2?OpenDocument"">Re']","['2010/04/18', 'India', 'Heat Wave', 'A severe heat wave sweeping India, with temperatures of almost 44 C (111 F), the highest in 52 years, has killed at least 80 people. ']"
79,14-04-2010,India,Violent Wind,"At least 30 people have died in a powerful storm that ravaged a district of India's eastern state of West Bengal, officials have said.",,bengal',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=ST-2010-000074-IND"">ST-2010-000074-IN', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/MUMA-84L3TN?OpenDocument&amp;rc=3&amp;emid=ST-2010-000074-IND"">Re', 'http://edition.cnn.com/2010/WORLD/asiapcf/04/15/india.storm/index.html"">CN', 'http://news.bbc.co.uk/2/hi/8619222.stm', 'http://news.bbc.co.uk/1/hi/world/south_asia/8619222.stm', 'http://www.reliefweb.int/rw/fullmaps_sa.nsf/luFullMap/74F623D2D6C6E9B8C1257707005A604E/$File/ST-2010-000074-IND_0416.pdf?OpenElement""']","['2010/04/14', 'India', 'Violent Wind', ""At least 30 people have died in a powerful storm that ravaged a district of India's eastern state of West Bengal, officials have said.""]"
80,04-01-2010,India,Cold Wave,Dozens of people have died in a cold wave sweeping through northern India,,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=CW-2010-000005-IND"">CW-2010-000005-IN', 'http://news.bbc.co.uk/2/low/south_asia/8438879.stm', 'http://www.reliefweb.int/rw/fullmaps_sa.nsf/luFullMap/0E0C7DED611BBA8DC12576A40038918B/$File/CW-2010-000005_0107.pdf?OpenElement""']","['2010/01/04', 'India', 'Cold Wave', 'Dozens of people have died in a cold wave sweeping through northern India']"
81,2009/09/30 to 2009/10/04,India,Flood,"Floods triggered by heavy rains have killed at least 200 people in the past five days in southern India, destroyed standing crops and left tens of thousands of people homeless, officials said on Sunday.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2009-000217-IND"">FL-2009-000217-IN', 'http://www.reliefweb.int/rw/rwb.nsf/db900SID/SNAA-7WK4LG?OpenDocument&amp;rc=3&amp;emid=FL-2009-000217-IND"">Re', 'http://www.expressindia.com/latest-news/Floods-kill-200-in-Karnataka-Andhra-Pradesh/524792/"">Ex', 'http://www.alertnet.org/thenews/newsdesk/DEL475955.htm"">Re', 'http://www.reliefweb.int/rw/fullMaps_Sa.nsf/luFullMap/3604A28D3373E0A3C1257647004DE2F4/$File/FL-2009-000217-IND_1006.pdf?OpenElement""']","['2009/09/30 to 2009/10/04', 'India', 'Flood', 'Floods triggered by heavy rains have killed at least 200 people in the past five days in southern India, destroyed standing crops and left tens of thousands of people homeless, officials said on Sunday.']"
82,08-08-2009,India,Landslide,"At least 38 people are feared dead in landslides and heavy rains in two hilly hamlets of northern India, authorities said Saturday.",,,"['http://edition.cnn.com/2009/WORLD/asiapcf/08/08/india.landslides.deaths/index.html"">CN']","['2009/08/08', 'India', 'Landslide', 'At least 38 people are feared dead in landslides and heavy rains in two hilly hamlets of northern India, authorities said Saturday.']"
83,20-07-2009,India,Flood,"Floods triggered by heavy monsoon rains over the past week have killed at least 36 people in the eastern Indian state of Orissa and inundated half a million homes, officials and witnesses said on Monday.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2009-000122-IND"">FL-2009-000122-IN', 'http://edition.cnn.com/2009/WORLD/asiapcf/07/23/india.flood.deaths/index.html"">CN', 'http://www.alertnet.org/thenews/newsdesk/DEL395339.htm"">Re', 'http://www.reliefweb.int/rw/fullMaps_Sa.nsf/luFullMap/A68814FD65D450FEC12575EB002EC647/$File/FL-2009-000122-IND_0706.pdf?OpenElement""']","['2009/07/20', 'India', 'Flood', 'Floods triggered by heavy monsoon rains over the past week have killed at least 36 people in the eastern Indian state of Orissa and inundated half a million homes, officials and witnesses said on Monday.']"
84,25-05-2009,India,Tropical Cyclone,"A cyclone packing winds up to 50 miles (80 kilometers) an hour swept through eastern India on 25 May 2009, killing at least 12 people, authorities said.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2009-000105-IND"">TC-2009-000105-IN', 'http://edition.cnn.com/2009/WORLD/asiapcf/05/27/india.cyclone.deaths/index.html"">CN', 'http://cnnwire.blogs.cnn.com/2009/05/25/cyclone-kills-12-in-india/"">CN', 'http://www.reliefweb.int/rw/fullMaps_Sa.nsf/luFullMap/320D5DEB0305E0DDC12575C2002B637B/$File/TC-2009-000105-BGD_0526.pdf?OpenElement""']","['2009/05/25', 'India', 'Tropical Cyclone', 'A cyclone packing winds up to 50 miles (80 kilometers) an hour swept through eastern India on 25 May 2009, killing at least 12 people, authorities said.\r\n']"
